naam,naam_lang,code,type,land,uic_code,eva_code,lat,lng
Hoorn,Hoorn,HN,KNOOPPUNT_INTERCITY_STATION,NL,8400337,8400337,52.6447219848633,5.05555534362793
Eygelshov,Eygelshoven,EGH,STOPTREIN_STATION,NL,8400338,8400338,50.8905563354492,6.04500007629395
Horst-Sev,Horst-Sevenum,HRT,STOPTREIN_STATION,NL,8400339,8400339,51.4263877868652,6.04222202301025
Houten,Houten,HTN,KNOOPPUNT_STOPTREIN_STATION,NL,8400340,8400340,52.03402,5.16821
Houthem-St,Houthem-St. Gerlach,SGL,STOPTREIN_STATION,NL,8400341,8400341,50.8733329772949,5.79722213745117
Kampen,Kampen,KPN,STOPTREIN_STATION,NL,8400353,8400353,52.5597229003906,5.92166662216186
Kapelle-Bi,Kapelle-Biezelinge,BZL,STOPTREIN_STATION,NL,8400354,8400354,51.4808349609375,3.95611119270325
Kerkrade C,Kerkrade Centrum,KRD,KNOOPPUNT_STOPTREIN_STATION,NL,8400355,8400355,50.8616676330566,6.05749988555908
Kesteren,Kesteren,KTR,STOPTREIN_STATION,NL,8400359,8400359,51.9313869,5.5833465
Kampen Z,Kampen Zuid,KPNZ,STOPTREIN_STATION,NL,8400360,8400360,52.5331,5.91309
Klarenbk,Klarenbeek,KBK,STOPTREIN_STATION,NL,8400361,8400361,52.1780548095703,6.08361101150513
Klimmen-R,Klimmen-Ransdaal,KMR,STOPTREIN_STATION,NL,8400362,8400362,50.8663902282715,5.8905553817749
Koog Zaan,Koog aan de Zaan,KZ,STOPTREIN_STATION,NL,8400363,8400363,52.458610534668,4.80555534362793
Zaanse S.,Zaandijk Zaanse Schans,ZZS,KNOOPPUNT_STOPTREIN_STATION,NL,8400364,8400364,52.469165802002,4.80499982833862
Koudum-M,Koudum-Molkwerum,KMW,STOPTREIN_STATION,NL,8400366,8400366,52.9028197,5.4106913
Krabbendke,Krabbendijke,KBD,STOPTREIN_STATION,NL,8400367,8400367,51.4333343505859,4.11694431304932
Krommenie,Krommenie-Assendelft,KMA,STOPTREIN_STATION,NL,8400368,8400368,52.49511,4.75417
Kropswolde,Kropswolde,KW,STOPTREIN_STATION,NL,8400369,8400369,53.1617362,6.7220882
Kruiningen,Kruiningen-Yerseke,KRG,STOPTREIN_STATION,NL,8400370,8400370,51.4650001525879,4.03722238540649
Ypenburg,Den Haag Ypenburg,YPB,STOPTREIN_STATION,NL,8400379,8400030,52.0552787780762,4.39222240447998
Laan v NOI,Den Haag Laan v NOI,LAA,KNOOPPUNT_STOPTREIN_STATION,NL,8400380,8400380,52.0786094665527,4.34277772903442
Lage Zwalu,Lage Zwaluwe,ZLW,KNOOPPUNT_STOPTREIN_STATION,NL,8400382,8400382,51.6911125183105,4.66305541992188
Leiden Lam,Leiden Lammenschans,LDL,STOPTREIN_STATION,NL,8400384,8400384,52.1469459533691,4.49249982833862
Leerdam,Leerdam,LDM,STOPTREIN_STATION,NL,8400386,8400386,51.8947219848633,5.09138870239258
Leeuwarden,Leeuwarden,LW,KNOOPPUNT_INTERCITY_STATION,NL,8400387,8400387,53.1958351135254,5.79222202301025
't Harde,'t Harde,HDE,STOPTREIN_STATION,NL,8400388,8400388,52.4091682,5.893611
Camminghab,Leeuwarden Camminghaburen,LWC,STOPTREIN_STATION,NL,8400389,8400389,53.2021808,5.8422968
Leiden C,Leiden Centraal,LEDN,KNOOPPUNT_INTERCITY_STATION,NL,8400390,8400390,52.1661109924316,4.48166656494141
Lelystad C,Lelystad Centrum,LLS,KNOOPPUNT_INTERCITY_STATION,NL,8400394,8400394,52.5077781677246,5.47277784347534
Lichtenv-G,Lichtenvoorde-Groenlo,LTV,STOPTREIN_STATION,NL,8400395,8400395,52.01188,6.59641
Lochem,Lochem,LC,STOPTREIN_STATION,NL,8400399,8400399,52.1666679382324,6.42638874053955
Halfweg-Zw,Halfweg-Zwanenburg,HWZB,STOPTREIN_STATION,NL,8400400,8400400,52.385935,4.747165
