from_eva,to_eva,traveltime,naam_from,naam_to
8400057,8400206,71,Amsterdam Amstel,Eindhoven
8400058,8400206,78,Amsterdam Centraal,Eindhoven
8400059,8400206,89,Amsterdam Sloterdijk,Eindhoven
8400061,8400206,78,Amsterdam Zuid,Eindhoven
8400066,8400206,100,Apeldoorn,Eindhoven
8400071,8400206,71,Arnhem Centraal,Eindhoven
8400073,8400206,159,Assen,Eindhoven
8400074,8400206,72,Amsterdam Bijlmer ArenA,Eindhoven
8400080,8400206,102,Almere Centrum,Eindhoven
8400086,8400206,86,Baarn,Eindhoven
8400093,8400206,175,Emmen Zuid,Eindhoven
8400095,8400206,233,Veendam,Eindhoven
8400113,8400206,120,Beverwijk,Eindhoven
8400128,8400206,70,Boxmeer,Eindhoven
8400129,8400206,16,Boxtel,Eindhoven
8400131,8400206,37,Breda,Eindhoven
8400133,8400206,67,Breukelen,Eindhoven
8400139,8400206,208,Buitenpost,Eindhoven
8400151,8400206,109,Castricum,Eindhoven
8400153,8400206,163,Coevorden,Eindhoven
8400167,8400206,134,Dalfsen,Eindhoven
8400170,8400206,75,Delft,Eindhoven
8400173,8400206,109,Deventer,Eindhoven
8400176,8400206,85,Dieren,Eindhoven
8400177,8400206,117,Doetinchem,Eindhoven
8400179,8400206,74,Den Dolder,Eindhoven
8400180,8400206,73,Dordrecht,Eindhoven
8400182,8400206,68,Driebergen-Zeist,Eindhoven
8400194,8400206,81,Duivendrecht,Eindhoven
8400200,8400206,81,Ede-Wageningen,Eindhoven
8400207,8400206,74,Elst,Eindhoven
8400208,8400206,179,Emmen,Eindhoven
8400212,8400206,149,Enschede,Eindhoven
8400218,8400206,63,Etten-Leur,Eindhoven
8400244,8400206,40,Geldermalsen,Eindhoven
8400245,8400206,5,Geldrop,Eindhoven
8400256,8400206,85,Gorinchem,Eindhoven
8400258,8400206,75,Gouda,Eindhoven
8400263,8400206,176,Groningen,Eindhoven
8400280,8400206,83,Den Haag HS,Eindhoven
8400282,8400206,89,Den Haag Centraal,Eindhoven
8400285,8400206,99,Haarlem,Eindhoven
8400293,8400206,155,Hardenberg,Eindhoven
8400294,8400206,114,Harderwijk,Eindhoven
8400302,8400206,106,Heemstede-Aerdenhout,Eindhoven
8400305,8400206,162,Heerenveen,Eindhoven
8400306,8400206,128,Heerhugowaard,Eindhoven
8400307,8400206,62,Heerlen,Eindhoven
8400311,8400206,158,Den Helder,Eindhoven
8400313,8400206,10,Helmond,Eindhoven
8400316,8400206,138,Hengelo,Eindhoven
8400319,8400206,18,'s-Hertogenbosch,Eindhoven
8400322,8400206,75,Hilversum,Eindhoven
8400331,8400206,204,Hoogezand-Sappemeer,Eindhoven
8400337,8400206,114,Hoorn,Eindhoven
8400340,8400206,56,Houten,Eindhoven
8400355,8400206,84,Kerkrade Centrum,Eindhoven
8400364,8400206,105,Zaandijk Zaanse Schans,Eindhoven
8400380,8400206,97,Den Haag Laan v NOI,Eindhoven
8400382,8400206,67,Lage Zwaluwe,Eindhoven
8400387,8400206,178,Leeuwarden,Eindhoven
8400390,8400206,102,Leiden Centraal,Eindhoven
8400394,8400206,121,Lelystad Centrum,Eindhoven
8400417,8400206,74,Maarn,Eindhoven
8400424,8400206,61,Maastricht,Eindhoven
8400426,8400206,76,Maastricht Randwyck,Eindhoven
8400428,8400206,148,Mariënberg,Eindhoven
8400434,8400206,76,Meerssen,Eindhoven
8400435,8400206,138,Meppel,Eindhoven
8400452,8400206,82,Naarden-Bussum,Eindhoven
8400454,8400206,171,Nieuw Amsterdam,Eindhoven
8400457,8400206,236,Bad Nieuweschans,Eindhoven
8400470,8400206,55,Nijmegen,Eindhoven
8400487,8400206,141,Ommen,Eindhoven
8400495,8400206,33,Oss,Eindhoven
8400507,8400206,82,Rotterdam Alexander,Eindhoven
8400508,8400206,121,Purmerend,Eindhoven
8400517,8400206,102,Rhenen,Eindhoven
8400523,8400206,30,Roermond,Eindhoven
8400526,8400206,72,Roosendaal,Eindhoven
8400530,8400206,62,Rotterdam Centraal,Eindhoven
8400548,8400206,74,Landgraaf,Eindhoven
8400561,8400206,86,Schiphol Airport,Eindhoven
8400564,8400206,45,Sittard,Eindhoven
